ID	TYPE	LEN	PW1_NAME	PW1_ROUTE	PW1_ROUTE_GENES
69	P1	9	Fc epsilon RI signaling pathway	['n133', 'n45', 'n47', 'n56', 'n55', 'n54', 'n53', 'n52', 'n51']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'LAT', 'GRB2', 'SOS1', 'SOS2', 'HRAS', 'KRAS', 'NRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3']
70	P1	6	Fc epsilon RI signaling pathway	['n133', 'n45', 'n42', 'n40', 'n39', 'n34']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'GAB2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'PDPK1', 'AKT3', 'AKT1', 'AKT2']
71	P1	7	Fc epsilon RI signaling pathway	['n133', 'n45', 'n42', 'n40', 'n59', 'n37', 'n58']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'GAB2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'RAC1', 'RAC2', 'RAC3', 'MAP2K7', 'MAP2K4', 'MAPK8', 'MAPK9', 'MAPK10']
72	P1	7	Fc epsilon RI signaling pathway	['n133', 'n45', 'n42', 'n40', 'n59', 'n38', 'n36']	['MS4A2', 'FCER1A', 'FCER1G', 'SYK', 'GAB2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'RAC1', 'RAC2', 'RAC3', 'MAP2K3', 'MAP2K6', 'MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']
73	P1	6	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n40', 'n44', 'n46', 'n100', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLCG1', 'PLCG2', 'C00165', 'PRKCD', 'PRKCE', 'MARCKS', 'MARCKSL1', 'TF']
74	P1	9	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n40', 'n44', 'n46', 'n47', 'n48', 'n49', 'n50', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLCG1', 'PLCG2', 'C00165', 'PRKCD', 'PRKCE', 'RAF1', 'MAP2K1', 'MAPK1', 'MAPK3', 'PLA2G4B', 'PLA2G4E', 'PLA2G4F', 'PLA2G4D', 'PLA2G4A', 'PLA2G4C', 'JMJD7-PLA2G4B', 'C00219', 'TF']
75	P1	6	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n40', 'n44', 'n46', 'n98', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLCG1', 'PLCG2', 'C00165', 'PRKCD', 'PRKCE', 'PLA2G6', 'C00219', 'TF']
76	P1	6	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n40', 'n42', 'n52', 'n157', 'n98', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLCG1', 'PLCG2', 'C01245', 'C00076', 'PRKCA', 'PRKCB', 'PRKCG', 'PLA2G6', 'C00219', 'TF']
77	P1	5	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n40', 'n42', 'n52', 'n157', 'n128']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLCG1', 'PLCG2', 'C01245', 'C00076', 'PRKCA', 'PRKCB', 'PRKCG', 'NCF1']
78	P1	5	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n40', 'n42', 'n52', 'n107', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLCG1', 'PLCG2', 'C01245', 'C00076', 'GSN', 'SCIN', 'TF']
79	P1	6	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n36', 'n58', 'n59', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'AKT3', 'AKT1', 'AKT2', 'RPS6KB1', 'RPS6KB2', 'TF']
80	P1	8	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n36', 'n86', 'n83', 'n112', 'n44', 'n46', 'n100', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PLD1', 'PLD2', 'C00416', 'PLPP1', 'PLPP2', 'PLPP3', 'C00165', 'PRKCD', 'PRKCE', 'MARCKS', 'MARCKSL1', 'TF']
81	P1	11	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n36', 'n86', 'n83', 'n112', 'n44', 'n46', 'n47', 'n48', 'n49', 'n50', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PLD1', 'PLD2', 'C00416', 'PLPP1', 'PLPP2', 'PLPP3', 'C00165', 'PRKCD', 'PRKCE', 'RAF1', 'MAP2K1', 'MAPK1', 'MAPK3', 'PLA2G4B', 'PLA2G4E', 'PLA2G4F', 'PLA2G4D', 'PLA2G4A', 'PLA2G4C', 'JMJD7-PLA2G4B', 'C00219', 'TF']
82	P1	8	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n36', 'n86', 'n83', 'n112', 'n44', 'n46', 'n98', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PLD1', 'PLD2', 'C00416', 'PLPP1', 'PLPP2', 'PLPP3', 'C00165', 'PRKCD', 'PRKCE', 'PLA2G6', 'C00219', 'TF']
83	P1	8	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n36', 'n86', 'n83', 'n109', 'n78', 'n74', 'n68', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PLD1', 'PLD2', 'C00416', 'PIP5K1C', 'PIP5K1A', 'PIP5K1B', 'C04637', 'WAS', 'ARPC5', 'ARPC4', 'ARPC3', 'ARPC1B', 'ACTR3', 'ACTR2', 'ARPC2', 'ARPC1A', 'ACTR3B', 'ACTR3C', 'ARPC5L', 'TF']
84	P1	8	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n36', 'n86', 'n145', 'n105', 'n52', 'n157', 'n98', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PLD1', 'PLD2', 'SPHK2', 'SPHK1', 'C06124', 'C00076', 'PRKCA', 'PRKCB', 'PRKCG', 'PLA2G6', 'C00219', 'TF']
85	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n36', 'n86', 'n145', 'n105', 'n52', 'n157', 'n128']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PLD1', 'PLD2', 'SPHK2', 'SPHK1', 'C06124', 'C00076', 'PRKCA', 'PRKCB', 'PRKCG', 'NCF1']
86	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n36', 'n86', 'n145', 'n105', 'n52', 'n107', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PLD1', 'PLD2', 'SPHK2', 'SPHK1', 'C06124', 'C00076', 'GSN', 'SCIN', 'TF']
87	P1	5	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n36', 'n103', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'MYO10', 'TF']
88	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n40', 'n44', 'n46', 'n100', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'PLCG1', 'PLCG2', 'C00165', 'PRKCD', 'PRKCE', 'MARCKS', 'MARCKSL1', 'TF']
89	P1	10	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n40', 'n44', 'n46', 'n47', 'n48', 'n49', 'n50', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'PLCG1', 'PLCG2', 'C00165', 'PRKCD', 'PRKCE', 'RAF1', 'MAP2K1', 'MAPK1', 'MAPK3', 'PLA2G4B', 'PLA2G4E', 'PLA2G4F', 'PLA2G4D', 'PLA2G4A', 'PLA2G4C', 'JMJD7-PLA2G4B', 'C00219', 'TF']
90	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n40', 'n44', 'n46', 'n98', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'PLCG1', 'PLCG2', 'C00165', 'PRKCD', 'PRKCE', 'PLA2G6', 'C00219', 'TF']
91	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n40', 'n42', 'n52', 'n157', 'n98', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'PLCG1', 'PLCG2', 'C01245', 'C00076', 'PRKCA', 'PRKCB', 'PRKCG', 'PLA2G6', 'C00219', 'TF']
92	P1	6	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n40', 'n42', 'n52', 'n157', 'n128']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'PLCG1', 'PLCG2', 'C01245', 'C00076', 'PRKCA', 'PRKCB', 'PRKCG', 'NCF1']
93	P1	6	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n40', 'n42', 'n52', 'n107', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'PLCG1', 'PLCG2', 'C01245', 'C00076', 'GSN', 'SCIN', 'TF']
94	P1	5	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n29', 'n162', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'DNM2', 'AMPH', 'BIN1', 'TF']
95	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n86', 'n83', 'n112', 'n44', 'n46', 'n100', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLD1', 'PLD2', 'C00416', 'PLPP1', 'PLPP2', 'PLPP3', 'C00165', 'PRKCD', 'PRKCE', 'MARCKS', 'MARCKSL1', 'TF']
96	P1	10	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n86', 'n83', 'n112', 'n44', 'n46', 'n47', 'n48', 'n49', 'n50', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLD1', 'PLD2', 'C00416', 'PLPP1', 'PLPP2', 'PLPP3', 'C00165', 'PRKCD', 'PRKCE', 'RAF1', 'MAP2K1', 'MAPK1', 'MAPK3', 'PLA2G4B', 'PLA2G4E', 'PLA2G4F', 'PLA2G4D', 'PLA2G4A', 'PLA2G4C', 'JMJD7-PLA2G4B', 'C00219', 'TF']
97	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n86', 'n83', 'n112', 'n44', 'n46', 'n98', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLD1', 'PLD2', 'C00416', 'PLPP1', 'PLPP2', 'PLPP3', 'C00165', 'PRKCD', 'PRKCE', 'PLA2G6', 'C00219', 'TF']
98	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n86', 'n83', 'n109', 'n78', 'n74', 'n68', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLD1', 'PLD2', 'C00416', 'PIP5K1C', 'PIP5K1A', 'PIP5K1B', 'C04637', 'WAS', 'ARPC5', 'ARPC4', 'ARPC3', 'ARPC1B', 'ACTR3', 'ACTR2', 'ARPC2', 'ARPC1A', 'ACTR3B', 'ACTR3C', 'ARPC5L', 'TF']
99	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n86', 'n145', 'n105', 'n52', 'n157', 'n98', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLD1', 'PLD2', 'SPHK2', 'SPHK1', 'C06124', 'C00076', 'PRKCA', 'PRKCB', 'PRKCG', 'PLA2G6', 'C00219', 'TF']
100	P1	6	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n86', 'n145', 'n105', 'n52', 'n157', 'n128']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLD1', 'PLD2', 'SPHK2', 'SPHK1', 'C06124', 'C00076', 'PRKCA', 'PRKCB', 'PRKCG', 'NCF1']
101	P1	6	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n86', 'n145', 'n105', 'n52', 'n107', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'PLD1', 'PLD2', 'SPHK2', 'SPHK1', 'C06124', 'C00076', 'GSN', 'SCIN', 'TF']
102	P1	8	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n120', 'n86', 'n83', 'n112', 'n44', 'n46', 'n100', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'ARF6', 'PLD1', 'PLD2', 'C00416', 'PLPP1', 'PLPP2', 'PLPP3', 'C00165', 'PRKCD', 'PRKCE', 'MARCKS', 'MARCKSL1', 'TF']
103	P1	11	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n120', 'n86', 'n83', 'n112', 'n44', 'n46', 'n47', 'n48', 'n49', 'n50', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'ARF6', 'PLD1', 'PLD2', 'C00416', 'PLPP1', 'PLPP2', 'PLPP3', 'C00165', 'PRKCD', 'PRKCE', 'RAF1', 'MAP2K1', 'MAPK1', 'MAPK3', 'PLA2G4B', 'PLA2G4E', 'PLA2G4F', 'PLA2G4D', 'PLA2G4A', 'PLA2G4C', 'JMJD7-PLA2G4B', 'C00219', 'TF']
104	P1	8	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n120', 'n86', 'n83', 'n112', 'n44', 'n46', 'n98', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'ARF6', 'PLD1', 'PLD2', 'C00416', 'PLPP1', 'PLPP2', 'PLPP3', 'C00165', 'PRKCD', 'PRKCE', 'PLA2G6', 'C00219', 'TF']
105	P1	8	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n120', 'n86', 'n83', 'n109', 'n78', 'n74', 'n68', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'ARF6', 'PLD1', 'PLD2', 'C00416', 'PIP5K1C', 'PIP5K1A', 'PIP5K1B', 'C04637', 'WAS', 'ARPC5', 'ARPC4', 'ARPC3', 'ARPC1B', 'ACTR3', 'ACTR2', 'ARPC2', 'ARPC1A', 'ACTR3B', 'ACTR3C', 'ARPC5L', 'TF']
106	P1	8	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n120', 'n86', 'n145', 'n105', 'n52', 'n157', 'n98', 'n150', 'n230']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'ARF6', 'PLD1', 'PLD2', 'SPHK2', 'SPHK1', 'C06124', 'C00076', 'PRKCA', 'PRKCB', 'PRKCG', 'PLA2G6', 'C00219', 'TF']
107	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n120', 'n86', 'n145', 'n105', 'n52', 'n157', 'n128']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'ARF6', 'PLD1', 'PLD2', 'SPHK2', 'SPHK1', 'C06124', 'C00076', 'PRKCA', 'PRKCB', 'PRKCG', 'NCF1']
108	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n120', 'n86', 'n145', 'n105', 'n52', 'n107', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'ARF6', 'PLD1', 'PLD2', 'SPHK2', 'SPHK1', 'C06124', 'C00076', 'GSN', 'SCIN', 'TF']
109	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n120', 'n109', 'n78', 'n74', 'n68', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'ARF6', 'PIP5K1C', 'PIP5K1A', 'PIP5K1B', 'C04637', 'WAS', 'ARPC5', 'ARPC4', 'ARPC3', 'ARPC1B', 'ACTR3', 'ACTR2', 'ARPC2', 'ARPC1A', 'ACTR3B', 'ACTR3C', 'ARPC5L', 'TF']
110	P1	8	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n65', 'n66', 'n109', 'n78', 'n74', 'n68', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'VAV3', 'VAV1', 'VAV2', 'RAC1', 'RAC2', 'PIP5K1C', 'PIP5K1A', 'PIP5K1B', 'C04637', 'WAS', 'ARPC5', 'ARPC4', 'ARPC3', 'ARPC1B', 'ACTR3', 'ACTR2', 'ARPC2', 'ARPC1A', 'ACTR3B', 'ACTR3C', 'ARPC5L', 'TF']
111	P1	8	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n65', 'n66', 'n87', 'n90', 'n93', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'VAV3', 'VAV1', 'VAV2', 'RAC1', 'RAC2', 'PAK1', 'LIMK1', 'LIMK2', 'CFL1', 'CFL2', 'TF']
112	P1	7	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n65', 'n66', 'n67', 'n68', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'VAV3', 'VAV1', 'VAV2', 'RAC1', 'RAC2', 'WASF2', 'WASF3', 'WASF1', 'ARPC5', 'ARPC4', 'ARPC3', 'ARPC1B', 'ACTR3', 'ACTR2', 'ARPC2', 'ARPC1A', 'ACTR3B', 'ACTR3C', 'ARPC5L', 'TF']
113	P1	6	Fc gamma R-mediated phagocytosis	['n222', 'n22', 'n65', 'n66', 'n123', 'n225']	['FCGR3A', 'FCGR3B', 'FCGR2A', 'FCGR1A', 'SYK', 'VAV3', 'VAV1', 'VAV2', 'RAC1', 'RAC2', 'ARF6', 'TF']
114	P1	6	FoxO signaling pathway	['n11', 'n18', 'n16', 'n19', 'n17', 'n1', 'n7']	['INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'CHUK', 'IKBKB', 'FOXO6', 'FOXO1', 'FOXO3', 'FOXO4']
115	P1	7	FoxO signaling pathway	['n11', 'n18', 'n16', 'n19', 'n17', 'n15', 'n1', 'n7']	['INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'CHUK', 'IKBKB', 'FOXO6', 'FOXO1', 'FOXO3', 'FOXO4']
116	P1	6	FoxO signaling pathway	['n11', 'n18', 'n16', 'n19', 'n17', 'n15', 'n7']	['INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'FOXO6', 'FOXO1', 'FOXO3', 'FOXO4']
117	P1	6	FoxO signaling pathway	['n11', 'n18', 'n16', 'n19', 'n17', 'n70', 'n7']	['INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'C8orf44-SGK3', 'SGK2', 'SGK3', 'SGK1', 'FOXO6', 'FOXO1', 'FOXO3', 'FOXO4']
118	P1	8	FoxO signaling pathway	['n24', 'n25', 'n8', 'n9', 'n12', 'n10', 'n3', 'n7']	['EGFR', 'GRB2', 'SOS1', 'SOS2', 'HRAS', 'KRAS', 'NRAS', 'ARAF', 'RAF1', 'BRAF', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'FOXO6', 'FOXO1', 'FOXO3', 'FOXO4']
119	P1	6	FoxO signaling pathway	['n35', 'n18', 'n16', 'n19', 'n17', 'n1', 'n7']	['IGF1R', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'CHUK', 'IKBKB', 'FOXO6', 'FOXO1', 'FOXO3', 'FOXO4']
120	P1	7	FoxO signaling pathway	['n35', 'n18', 'n16', 'n19', 'n17', 'n15', 'n1', 'n7']	['IGF1R', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'CHUK', 'IKBKB', 'FOXO6', 'FOXO1', 'FOXO3', 'FOXO4']
121	P1	6	FoxO signaling pathway	['n35', 'n18', 'n16', 'n19', 'n17', 'n15', 'n7']	['IGF1R', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'FOXO6', 'FOXO1', 'FOXO3', 'FOXO4']
122	P1	6	FoxO signaling pathway	['n35', 'n18', 'n16', 'n19', 'n17', 'n70', 'n7']	['IGF1R', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'C8orf44-SGK3', 'SGK2', 'SGK3', 'SGK1', 'FOXO6', 'FOXO1', 'FOXO3', 'FOXO4']
123	P1	5	GnRH signaling pathway	['n25', 'n27', 'n3', 'n13', 'n31', 'n14']	['GNRHR', 'GNAS', 'ADCY1', 'ADCY2', 'ADCY3', 'ADCY5', 'ADCY6', 'ADCY7', 'ADCY8', 'ADCY9', 'ADCY4', 'C00575', 'PRKACA', 'PRKACB', 'PRKACG', 'ATF4']
124	P1	10	GnRH signaling pathway	['n25', 'n23', 'n10', 'n8', 'n2', 'n29', 'n11', 'n47', 'n44', 'n45', 'n46']	['GNRHR', 'GNA11', 'GNAQ', 'PLCB1', 'PLCB2', 'PLCB3', 'PLCB4', 'C00165', 'PRKCA', 'PRKCB', 'PRKCD', 'SRC', 'CDC42', 'MAP3K1', 'MAP2K7', 'MAP2K4', 'MAPK8', 'MAPK9', 'MAPK10', 'JUN']
125	P1	13	GnRH signaling pathway	['n25', 'n23', 'n10', 'n8', 'n2', 'n29', 'n41', 'n40', 'n39', 'n38', 'n37', 'n36', 'n34', 'n180']	['GNRHR', 'GNA11', 'GNAQ', 'PLCB1', 'PLCB2', 'PLCB3', 'PLCB4', 'C00165', 'PRKCA', 'PRKCB', 'PRKCD', 'SRC', 'EGFR', 'GRB2', 'SOS1', 'SOS2', 'HRAS', 'KRAS', 'NRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'ELK1', 'EGR1']
126	P1	10	GnRH signaling pathway	['n25', 'n23', 'n10', 'n8', 'n2', 'n29', 'n38', 'n37', 'n36', 'n34', 'n180']	['GNRHR', 'GNA11', 'GNAQ', 'PLCB1', 'PLCB2', 'PLCB3', 'PLCB4', 'C00165', 'PRKCA', 'PRKCB', 'PRKCD', 'SRC', 'HRAS', 'KRAS', 'NRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'ELK1', 'EGR1']
127	P1	8	GnRH signaling pathway	['n25', 'n23', 'n10', 'n8', 'n2', 'n37', 'n36', 'n34', 'n180']	['GNRHR', 'GNA11', 'GNAQ', 'PLCB1', 'PLCB2', 'PLCB3', 'PLCB4', 'C00165', 'PRKCA', 'PRKCB', 'PRKCD', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'ELK1', 'EGR1']
128	P1	8	GnRH signaling pathway	['n41', 'n40', 'n39', 'n38', 'n37', 'n36', 'n34', 'n180']	['EGFR', 'GRB2', 'SOS1', 'SOS2', 'HRAS', 'KRAS', 'NRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3', 'ELK1', 'EGR1']
129	P1	4	Hedgehog signaling pathway	['n2', 'n3', 'n390', 'n392', 'n19']	['GPR161', 'C00575', 'GSK3B', 'CSNK1G1', 'CSNK1G3', 'TPTEP2-CSNK1E', 'CSNK1A1L', 'CSNK1A1', 'CSNK1D', 'CSNK1E', 'CSNK1G2', 'PRKACA', 'PRKACB', 'PRKACG', 'GLI1', 'GLI2', 'GLI3', 'SUFU', 'KIF7', 'GLI1', 'GLI2', 'GLI3']
130	P1	6	Hippo signaling pathway	['n578', 'n99', 'n6', 'n8', 'n33', 'n107']	['CDH1', 'WWC1', 'NF2', 'FRMD6', 'FRMD1', 'STK3', 'LATS2', 'LATS1', 'YAP1', 'WWTR1', 'YAP1', 'WWTR1', 'TEAD1', 'TEAD4', 'TEAD3', 'TEAD2']
131	P1	6	Hippo signaling pathway	['n578', 'n99', 'n6', 'n8', 'n33', 'n108']	['CDH1', 'WWC1', 'NF2', 'FRMD6', 'FRMD1', 'STK3', 'LATS2', 'LATS1', 'YAP1', 'WWTR1', 'YAP1', 'WWTR1', 'SMAD2', 'SMAD3', 'SMAD4']
